"","datazone","year","crime_count","crime_rate","school_leaver_other_rate","school_leaver_pos_rate","simd","simd_decile","simd_quintile"
"104","S01000104",2004,17,195,NA,NA,6271,NA,NA
"105","S01000105",2004,36,430,NA,NA,6041,NA,NA
"106","S01000106",2004,13,184,NA,NA,6502,NA,NA
"107","S01000107",2004,423,5321,NA,NA,3535,NA,NA
"108","S01000108",2004,117,1800,NA,NA,1968,NA,NA
"109","S01000109",2004,579,6335,NA,NA,3282,NA,NA
"110","S01000110",2004,33,407,NA,NA,4325,NA,NA
"111","S01000111",2004,20,282,NA,NA,6344,NA,NA
"112","S01000112",2004,55,595,NA,NA,2506,NA,NA
"113","S01000113",2004,10,177,NA,NA,6472,NA,NA
"114","S01000114",2004,32,423,NA,NA,2022,NA,NA
"115","S01000115",2004,37,454,NA,NA,2296,NA,NA
"116","S01000116",2004,30,295,NA,NA,5616,NA,NA
"117","S01000117",2004,34,348,NA,NA,6288,NA,NA
"118","S01000118",2004,46,715,NA,NA,2812,NA,NA
"119","S01000119",2004,57,765,NA,NA,2570,NA,NA
"120","S01000120",2004,14,285,NA,NA,5099,NA,NA
"121","S01000121",2004,227,3068,NA,NA,3721,NA,NA
"122","S01000122",2004,69,936,NA,NA,2079,NA,NA
"123","S01000123",2004,21,320,NA,NA,5349,NA,NA
"124","S01000124",2004,40,385,NA,NA,3916,NA,NA
"125","S01000125",2004,176,1813,NA,NA,2045,NA,NA
"126","S01000126",2004,77,1042,NA,NA,1690,NA,NA
"127","S01000127",2004,17,223,NA,NA,6503,NA,NA
"128","S01000128",2004,177,1050,NA,NA,3695,NA,NA
"129","S01000129",2004,49,825,NA,NA,5503,NA,NA
"130","S01000130",2004,113,1181,NA,NA,2445,NA,NA
"131","S01000131",2004,30,514,NA,NA,6374,NA,NA
"132","S01000132",2004,36,533,NA,NA,5547,NA,NA
"133","S01000133",2004,18,251,NA,NA,2892,NA,NA
"134","S01000134",2004,47,681,NA,NA,1691,NA,NA
"135","S01000135",2004,72,1032,NA,NA,1282,NA,NA
"136","S01000136",2004,104,1651,NA,NA,1916,NA,NA
"137","S01000137",2004,56,799,NA,NA,4125,NA,NA
"138","S01000138",2004,97,963,NA,NA,2438,NA,NA
"139","S01000139",2004,20,251,NA,NA,2811,NA,NA
"140","S01000140",2004,31,346,NA,NA,2883,NA,NA
"141","S01000141",2004,88,1016,NA,NA,6101,NA,NA
"142","S01000142",2004,63,857,NA,NA,1099,NA,NA
"143","S01000143",2004,6,91,NA,NA,6346,NA,NA
"144","S01000144",2004,42,905,NA,NA,3737,NA,NA
"145","S01000145",2004,35,426,NA,NA,1814,NA,NA
"146","S01000146",2004,128,1213,NA,NA,1305,NA,NA
"147","S01000147",2004,41,571,NA,NA,2577,NA,NA
"148","S01000148",2004,53,839,NA,NA,1006,NA,NA
"149","S01000149",2004,97,971,NA,NA,3275,NA,NA
"150","S01000150",2004,41,622,NA,NA,2280,NA,NA
"151","S01000151",2004,32,382,NA,NA,1956,NA,NA
"152","S01000152",2004,78,834,NA,NA,4906,NA,NA
"153","S01000153",2004,40,762,NA,NA,2286,NA,NA
"154","S01000154",2004,23,417,NA,NA,2013,NA,NA
"155","S01000155",2004,58,768,NA,NA,2475,NA,NA
"156","S01000156",2004,97,1095,NA,NA,1646,NA,NA
"157","S01000157",2004,67,963,NA,NA,1474,NA,NA
"158","S01000158",2004,59,692,NA,NA,3175,NA,NA
"159","S01000159",2004,20,199,NA,NA,5848,NA,NA
"160","S01000160",2004,23,288,NA,NA,2899,NA,NA
"161","S01000161",2004,52,510,NA,NA,6026,NA,NA
"162","S01000162",2004,30,360,NA,NA,3492,NA,NA
"163","S01000163",2004,87,854,NA,NA,2188,NA,NA
"164","S01000164",2004,28,426,NA,NA,2231,NA,NA
"165","S01000165",2004,70,829,NA,NA,1478,NA,NA
"166","S01000166",2004,53,441,NA,NA,4704,NA,NA
"167","S01000167",2004,37,543,NA,NA,2931,NA,NA
"168","S01000168",2004,53,541,NA,NA,2187,NA,NA
"169","S01000169",2004,45,602,NA,NA,2979,NA,NA
"170","S01000170",2004,60,521,NA,NA,4879,NA,NA
"171","S01000171",2004,6,60,NA,NA,5441,NA,NA
"172","S01000172",2004,13,274,NA,NA,4648,NA,NA
"173","S01000173",2004,40,529,NA,NA,2443,NA,NA
"174","S01000174",2004,8,88,NA,NA,6188,NA,NA
"175","S01000175",2004,43,956,NA,NA,3337,NA,NA
"176","S01000176",2004,23,378,NA,NA,4218,NA,NA
"177","S01000177",2004,15,290,NA,NA,5883,NA,NA
"178","S01000178",2004,84,1027,NA,NA,2042,NA,NA
"179","S01000179",2004,48,735,NA,NA,708,NA,NA
"180","S01000180",2004,46,688,NA,NA,2320,NA,NA
"181","S01000181",2004,99,1784,NA,NA,1331,NA,NA
"182","S01000182",2004,77,903,NA,NA,1885,NA,NA
"183","S01000183",2004,180,1746,NA,NA,1306,NA,NA
"184","S01000184",2004,33,444,NA,NA,5161,NA,NA
"185","S01000185",2004,51,612,NA,NA,956,NA,NA
"186","S01000186",2004,26,294,NA,NA,3842,NA,NA
"187","S01000187",2004,40,614,NA,NA,1673,NA,NA
"188","S01000188",2004,63,623,NA,NA,2990,NA,NA
"189","S01000189",2004,71,1207,NA,NA,790,NA,NA
"190","S01000190",2004,158,1936,NA,NA,1825,NA,NA
"191","S01000191",2004,56,589,NA,NA,4945,NA,NA
"192","S01000192",2004,80,1207,NA,NA,1201,NA,NA
"193","S01000193",2004,60,863,NA,NA,1465,NA,NA
"194","S01000194",2004,124,1774,NA,NA,916,NA,NA
"195","S01000195",2004,87,1349,NA,NA,982,NA,NA
"196","S01000196",2004,158,1908,NA,NA,584,NA,NA
"197","S01000197",2004,55,986,NA,NA,2366,NA,NA
"198","S01000198",2004,103,1465,NA,NA,509,NA,NA
"199","S01000199",2004,138,2222,NA,NA,488,NA,NA
"200","S01000200",2004,64,786,NA,NA,2288,NA,NA
"201","S01000201",2004,30,466,NA,NA,2058,NA,NA
"202","S01000202",2004,69,787,NA,NA,3284,NA,NA
"203","S01000203",2004,136,3461,NA,NA,515,NA,NA
"204","S01000204",2004,38,648,NA,NA,1451,NA,NA
"205","S01000205",2004,46,465,NA,NA,2865,NA,NA
"206","S01000206",2004,50,792,NA,NA,3203,NA,NA
"207","S01000207",2004,46,591,NA,NA,1162,NA,NA
"208","S01000208",2004,159,2018,NA,NA,258,NA,NA
"209","S01000209",2004,216,2416,NA,NA,201,NA,NA
"210","S01000210",2004,156,3264,NA,NA,688,NA,NA
"211","S01000211",2004,146,2179,NA,NA,747,NA,NA
"212","S01000212",2004,57,796,NA,NA,1795,NA,NA
"213","S01000213",2004,113,1414,NA,NA,926,NA,NA
"214","S01000214",2004,19,386,NA,NA,3731,NA,NA
"215","S01000215",2004,30,337,NA,NA,4406,NA,NA
"216","S01000216",2004,40,718,NA,NA,4231,NA,NA
"217","S01000217",2004,118,1931,NA,NA,774,NA,NA
"218","S01000218",2004,66,978,NA,NA,2801,NA,NA
"219","S01000219",2004,93,1620,NA,NA,976,NA,NA
"220","S01000220",2004,46,313,NA,NA,4913,NA,NA
