"","datazone","year","crime_count","crime_rate","school_leaver_other_rate","school_leaver_pos_rate","simd","simd_decile","simd_quintile"
"13480","S01000470",2008,28,258,0,100,NA,NA,NA
"13481","S01000471",2008,6,80,0,100,NA,NA,NA
"13482","S01000472",2008,NA,NA,7.7,92.300003,NA,NA,NA
"13483","S01000473",2008,18,265,11.1,88.900002,NA,NA,NA
"13484","S01000474",2008,11,173,27.3,72.699997,NA,NA,NA
"13485","S01000475",2008,31,395,8.3,91.699997,NA,NA,NA
"13486","S01000476",2008,NA,NA,14.3,85.699997,NA,NA,NA
"13487","S01000477",2008,23,322,9.1,90.900002,NA,NA,NA
"13488","S01000478",2008,36,468,0,100,NA,NA,NA
"13489","S01000479",2008,41,473,18.2,81.800003,NA,NA,NA
"13490","S01000480",2008,NA,NA,0,100,NA,NA,NA
"13491","S01000481",2008,36,256,6.1,93.900002,NA,NA,NA
"13492","S01000482",2008,85,1023,12.5,87.5,NA,NA,NA
"13493","S01000483",2008,62,686,37.5,62.5,NA,NA,NA
"13494","S01000484",2008,99,1352,25,75,NA,NA,NA
"13495","S01000485",2008,NA,NA,0,100,NA,NA,NA
"13496","S01000486",2008,297,3414,11.1,88.900002,NA,NA,NA
"13497","S01000487",2008,28,461,13.3,86.699997,NA,NA,NA
"13498","S01000488",2008,8,123,0,100,NA,NA,NA
"13499","S01000489",2008,82,939,20,80,NA,NA,NA
"13500","S01000490",2008,7,146,22.2,77.800003,NA,NA,NA
"13501","S01000491",2008,53,950,33.3,66.699997,NA,NA,NA
"13502","S01000492",2008,68,795,40,60,NA,NA,NA
"13503","S01000493",2008,15,234,0,100,NA,NA,NA
"13504","S01000494",2008,48,954,10,90,NA,NA,NA
"13505","S01000495",2008,9,107,0,100,NA,NA,NA
"13506","S01000496",2008,NA,NA,0,100,NA,NA,NA
"13507","S01000497",2008,6,96,0,100,NA,NA,NA
"13508","S01000498",2008,6,120,0,100,NA,NA,NA
"13509","S01000499",2008,37,483,12.5,87.5,NA,NA,NA
"13510","S01000500",2008,20,308,16.7,83.300003,NA,NA,NA
"13511","S01000501",2008,16,264,0,100,NA,NA,NA
"13512","S01000502",2008,12,200,7.7,92.300003,NA,NA,NA
"13513","S01000503",2008,7,131,16.7,83.300003,NA,NA,NA
"13514","S01000504",2008,56,719,50,50,NA,NA,NA
"13515","S01000505",2008,7,92,0,100,NA,NA,NA
"13516","S01000506",2008,NA,NA,0,100,NA,NA,NA
"13517","S01000507",2008,38,365,0,100,NA,NA,NA
"13518","S01000508",2008,6,64,4.3,95.699997,NA,NA,NA
"13519","S01000509",2008,8,78,5.9,94.099998,NA,NA,NA
"13520","S01000510",2008,22,358,6.7,93.300003,NA,NA,NA
"13521","S01000511",2008,5,87,20,80,NA,NA,NA
"13522","S01000512",2008,9,97,8.3,91.699997,NA,NA,NA
"13523","S01000513",2008,32,365,21.4,78.599998,NA,NA,NA
"13524","S01000514",2008,8,101,5.9,94.099998,NA,NA,NA
"13525","S01000515",2008,22,358,16.7,83.300003,NA,NA,NA
"13526","S01000516",2008,10,114,14.3,85.699997,NA,NA,NA
"13527","S01000517",2008,7,99,25,75,NA,NA,NA
"13528","S01000518",2008,19,212,0,100,NA,NA,NA
"13529","S01000519",2008,10,185,14.3,85.699997,NA,NA,NA
"13530","S01000520",2008,21,190,0,100,NA,NA,NA
"13531","S01000521",2008,33,361,0,100,NA,NA,NA
"13532","S01000522",2008,6,97,0,100,NA,NA,NA
"13533","S01000523",2008,59,736,0,100,NA,NA,NA
"13534","S01000524",2008,14,213,0,100,NA,NA,NA
"13535","S01000525",2008,16,159,18.2,81.800003,NA,NA,NA
"13536","S01000526",2008,28,278,0,100,NA,NA,NA
"13537","S01000527",2008,9,137,11.1,88.900002,NA,NA,NA
"13538","S01000528",2008,NA,NA,6.7,93.300003,NA,NA,NA
"13539","S01000529",2008,12,166,21.4,78.599998,NA,NA,NA
"13540","S01000530",2008,9,162,0,100,NA,NA,NA
"13541","S01000531",2008,7,128,11.1,88.900002,NA,NA,NA
"13542","S01000532",2008,46,594,20,80,NA,NA,NA
"13543","S01000533",2008,20,269,0,100,NA,NA,NA
"13544","S01000534",2008,32,417,0,100,NA,NA,NA
"13545","S01000535",2008,32,319,15.4,84.599998,NA,NA,NA
"13546","S01000536",2008,9,169,28.6,71.400002,NA,NA,NA
"13547","S01000537",2008,16,185,10,90,NA,NA,NA
"13548","S01000538",2008,11,148,0,100,NA,NA,NA
"13549","S01000539",2008,85,927,0,100,NA,NA,NA
"13550","S01000540",2008,23,316,0,100,NA,NA,NA
"13551","S01000541",2008,38,676,12.5,87.5,NA,NA,NA
"13552","S01000542",2008,24,363,0,100,NA,NA,NA
"13553","S01000543",2008,11,132,18.2,81.800003,NA,NA,NA
"13554","S01000544",2008,17,243,14.3,85.699997,NA,NA,NA
"13555","S01000545",2008,31,453,25,75,NA,NA,NA
"13556","S01000546",2008,20,268,6.7,93.300003,NA,NA,NA
"13557","S01000547",2008,6,111,25,75,NA,NA,NA
"13558","S01000548",2008,NA,NA,7.1,92.900002,NA,NA,NA
"13559","S01000549",2008,27,221,10.5,89.5,NA,NA,NA
"13560","S01000550",2008,NA,NA,0,100,NA,NA,NA
"13561","S01000551",2008,37,442,12.5,87.5,NA,NA,NA
"13562","S01000552",2008,12,230,0,100,NA,NA,NA
"13563","S01000553",2008,NA,NA,0,100,NA,NA,NA
"13564","S01000554",2008,32,442,0,100,NA,NA,NA
"13565","S01000555",2008,34,364,12.5,87.5,NA,NA,NA
"13566","S01000556",2008,51,609,35.3,64.699997,NA,NA,NA
"13567","S01000557",2008,27,320,9.1,90.900002,NA,NA,NA
"13568","S01000558",2008,35,647,10,90,NA,NA,NA
"13569","S01000559",2008,55,791,20,80,NA,NA,NA
"13570","S01000560",2008,47,455,8.3,91.699997,NA,NA,NA
"13571","S01000561",2008,110,1060,22.2,77.800003,NA,NA,NA
"13572","S01000562",2008,61,634,0,100,NA,NA,NA
"13573","S01000563",2008,269,3342,20,80,NA,NA,NA
"13574","S01000564",2008,133,1352,16.7,83.300003,NA,NA,NA
"13575","S01000565",2008,50,702,36.4,63.599998,NA,NA,NA
"13576","S01000566",2008,35,591,37.5,62.5,NA,NA,NA
"13577","S01000567",2008,39,505,14.3,85.699997,NA,NA,NA
"13578","S01000568",2008,13,243,0,100,NA,NA,NA
"13579","S01000569",2008,8,110,0,100,NA,NA,NA
"13580","S01000570",2008,12,139,11.1,88.900002,NA,NA,NA
"13581","S01000571",2008,43,613,20,80,NA,NA,NA
"13582","S01000572",2008,NA,NA,0,100,NA,NA,NA
"13583","S01000573",2008,NA,NA,0,100,NA,NA,NA
"13584","S01000574",2008,11,150,0,100,NA,NA,NA
"13585","S01000575",2008,NA,NA,0,100,NA,NA,NA
"13586","S01000576",2008,5,85,12.5,87.5,NA,NA,NA
"13587","S01000577",2008,NA,NA,0,100,NA,NA,NA
"13588","S01000578",2008,NA,NA,0,100,NA,NA,NA
"13589","S01000579",2008,NA,NA,0,100,NA,NA,NA
"13590","S01000580",2008,NA,NA,20,80,NA,NA,NA
"13591","S01000581",2008,NA,NA,0,100,NA,NA,NA
"13592","S01000582",2008,16,240,0,100,NA,NA,NA
"13593","S01000583",2008,16,173,9.1,90.900002,NA,NA,NA
"13594","S01000584",2008,46,645,18.2,81.800003,NA,NA,NA
"13595","S01000585",2008,38,396,10,90,NA,NA,NA
"13596","S01000586",2008,12,163,0,100,NA,NA,NA
"13597","S01000587",2008,6,79,0,100,NA,NA,NA
"13598","S01000588",2008,27,429,11.1,88.900002,NA,NA,NA
"13599","S01000589",2008,10,159,16.7,83.300003,NA,NA,NA
"13600","S01000590",2008,16,213,9.1,90.900002,NA,NA,NA
"13601","S01000591",2008,NA,NA,0,100,NA,NA,NA
"13602","S01000592",2008,25,287,11.1,88.900002,NA,NA,NA
"13603","S01000593",2008,26,259,9.1,90.900002,NA,NA,NA
"13604","S01000594",2008,18,143,5.9,94.099998,NA,NA,NA
"13605","S01000595",2008,6,79,30.8,69.199997,NA,NA,NA
"13606","S01000596",2008,5,60,6.7,93.300003,NA,NA,NA
"13607","S01000597",2008,5,49,0,100,NA,NA,NA
"13608","S01000598",2008,5,49,14.3,85.699997,NA,NA,NA
"13609","S01000599",2008,7,63,18.8,81.199997,NA,NA,NA
"13610","S01000600",2008,10,124,0,100,NA,NA,NA
"13611","S01000601",2008,15,132,0,100,NA,NA,NA
"13612","S01000602",2008,17,213,0,100,NA,NA,NA
"13613","S01000603",2008,8,82,25,75,NA,NA,NA
"13614","S01000604",2008,8,80,15.8,84.199997,NA,NA,NA
"13615","S01000605",2008,44,529,0,100,NA,NA,NA
"13616","S01000606",2008,75,1061,20,80,NA,NA,NA
"13617","S01000607",2008,16,209,0,100,NA,NA,NA
"13618","S01000608",2008,136,1360,22.2,77.800003,NA,NA,NA
"13619","S01000609",2008,55,587,12.5,87.5,NA,NA,NA
"13620","S01000610",2008,96,1337,12.5,87.5,NA,NA,NA
"13621","S01000611",2008,57,1054,20,80,NA,NA,NA
"13622","S01000612",2008,105,1196,20,80,NA,NA,NA
"13623","S01000613",2008,93,989,5.3,94.699997,NA,NA,NA
"13624","S01000614",2008,10,137,10,90,NA,NA,NA
"13625","S01000615",2008,48,641,25,75,NA,NA,NA
"13626","S01000616",2008,13,104,7.7,92.300003,NA,NA,NA
"13627","S01000617",2008,8,136,0,100,NA,NA,NA
"13628","S01000618",2008,11,133,8.3,91.699997,NA,NA,NA
"13629","S01000619",2008,8,126,20,80,NA,NA,NA
"13630","S01000620",2008,118,1124,18.8,81.199997,NA,NA,NA
"13631","S01000621",2008,44,433,36.4,63.599998,NA,NA,NA
"13632","S01000622",2008,31,585,25,75,NA,NA,NA
"13633","S01000623",2008,39,533,0,100,NA,NA,NA
"13634","S01000624",2008,24,431,0,100,NA,NA,NA
"13635","S01000625",2008,35,699,33.3,66.699997,NA,NA,NA
"13636","S01000626",2008,55,788,20,80,NA,NA,NA
"13637","S01000627",2008,29,334,0,100,NA,NA,NA
"13638","S01000628",2008,39,584,41.7,58.299999,NA,NA,NA
"13639","S01000629",2008,38,409,5.6,94.400002,NA,NA,NA
"13640","S01000630",2008,43,587,0,100,NA,NA,NA
"13641","S01000631",2008,30,557,11.1,88.900002,NA,NA,NA
"13642","S01000632",2008,9,165,11.1,88.900002,NA,NA,NA
"13643","S01000633",2008,7,116,0,100,NA,NA,NA
"13644","S01000634",2008,39,523,37.5,62.5,NA,NA,NA
"13645","S01000635",2008,18,277,9.1,90.900002,NA,NA,NA
"13646","S01000636",2008,NA,NA,0,100,NA,NA,NA
"13647","S01000637",2008,NA,NA,27.3,72.699997,NA,NA,NA
"13648","S01000638",2008,22,389,0,100,NA,NA,NA
"13649","S01000639",2008,12,201,11.1,88.900002,NA,NA,NA
"13650","S01000640",2008,9,129,0,100,NA,NA,NA
"13651","S01000641",2008,5,64,30,70,NA,NA,NA
"13652","S01000642",2008,9,105,0,100,NA,NA,NA
"13653","S01000643",2008,8,137,0,100,NA,NA,NA
"13654","S01000644",2008,7,98,0,100,NA,NA,NA
"13655","S01000645",2008,13,143,0,100,NA,NA,NA
"13656","S01000646",2008,NA,NA,20,80,NA,NA,NA
"13657","S01000647",2008,NA,NA,33.3,66.699997,NA,NA,NA
"13658","S01000648",2008,56,609,38.5,61.5,NA,NA,NA
"13659","S01000649",2008,11,201,0,100,NA,NA,NA
"13660","S01000650",2008,19,273,33.3,66.699997,NA,NA,NA
"13661","S01000651",2008,55,649,25,75,NA,NA,NA
"13662","S01000652",2008,13,159,0,100,NA,NA,NA
"13663","S01000653",2008,104,1073,45.5,54.5,NA,NA,NA
"13664","S01000654",2008,45,508,21.4,78.599998,NA,NA,NA
"13665","S01000655",2008,44,587,28.6,71.400002,NA,NA,NA
"13666","S01000656",2008,72,950,0,100,NA,NA,NA
"13667","S01000657",2008,18,256,28.6,71.400002,NA,NA,NA
"13668","S01000658",2008,90,1670,9.1,90.900002,NA,NA,NA
"13669","S01000659",2008,18,134,10,90,NA,NA,NA
"13670","S01000660",2008,26,244,0,100,NA,NA,NA
"13671","S01000661",2008,25,339,25,75,NA,NA,NA
"13672","S01000662",2008,24,370,25,75,NA,NA,NA
"13673","S01000663",2008,8,120,14.3,85.699997,NA,NA,NA
"13674","S01000664",2008,26,309,0,100,NA,NA,NA
"13675","S01000665",2008,5,77,33.3,66.699997,NA,NA,NA
"13676","S01000666",2008,NA,NA,0,100,NA,NA,NA
"13677","S01000667",2008,37,387,20,80,NA,NA,NA
"13678","S01000668",2008,64,723,33.3,66.699997,NA,NA,NA
"13679","S01000669",2008,75,1018,16.7,83.300003,NA,NA,NA
"13680","S01000670",2008,16,262,10,90,NA,NA,NA
"13681","S01000671",2008,12,209,0,100,NA,NA,NA
"13682","S01000672",2008,12,185,0,100,NA,NA,NA
"13683","S01000673",2008,NA,NA,0,100,NA,NA,NA
"13684","S01000674",2008,27,265,0,100,NA,NA,NA
"13685","S01000675",2008,NA,NA,11.1,88.900002,NA,NA,NA
"13686","S01000676",2008,10,188,0,100,NA,NA,NA
"13687","S01000677",2008,28,326,16.7,83.300003,NA,NA,NA
"13688","S01000678",2008,18,188,0,100,NA,NA,NA
"13689","S01000679",2008,73,1064,25,75,NA,NA,NA
"13690","S01000680",2008,66,731,28.6,71.400002,NA,NA,NA
"13691","S01000681",2008,86,1082,0,100,NA,NA,NA
"13692","S01000682",2008,146,1939,9.1,90.900002,NA,NA,NA
"13693","S01000683",2008,28,530,0,100,NA,NA,NA
"13694","S01000684",2008,55,830,0,100,NA,NA,NA
"13695","S01000685",2008,27,328,12.5,87.5,NA,NA,NA
"13696","S01000686",2008,16,217,20,80,NA,NA,NA
"13697","S01000687",2008,51,617,30,70,NA,NA,NA
"13698","S01000688",2008,32,449,0,100,NA,NA,NA
"13699","S01000689",2008,NA,NA,33.3,66.699997,NA,NA,NA
"13700","S01000690",2008,13,143,13.3,86.699997,NA,NA,NA
"13701","S01000691",2008,27,367,10,90,NA,NA,NA
"13702","S01000692",2008,59,926,25,75,NA,NA,NA
"13703","S01000693",2008,105,1078,0,100,NA,NA,NA
"13704","S01000694",2008,9,135,11.1,88.900002,NA,NA,NA
"13705","S01000695",2008,23,317,22.2,77.800003,NA,NA,NA
"13706","S01000696",2008,71,1025,0,100,NA,NA,NA
"13707","S01000697",2008,NA,NA,0,100,NA,NA,NA
"13708","S01000698",2008,41,651,15.4,84.599998,NA,NA,NA
"13709","S01000699",2008,63,1079,8.7,91.300003,NA,NA,NA
"13710","S01000700",2008,14,175,23.8,76.199997,NA,NA,NA
"13711","S01000701",2008,29,323,0,100,NA,NA,NA
"13712","S01000702",2008,6,120,14.3,85.699997,NA,NA,NA
"13713","S01000703",2008,10,136,0,100,NA,NA,NA
"13714","S01000704",2008,10,106,0,100,NA,NA,NA
"13715","S01000705",2008,18,157,0,100,NA,NA,NA
"13716","S01000706",2008,5,63,0,100,NA,NA,NA
"13717","S01000707",2008,NA,NA,12.5,87.5,NA,NA,NA
"13718","S01000708",2008,5,85,14.3,85.699997,NA,NA,NA
"13719","S01000709",2008,13,131,22.2,77.800003,NA,NA,NA
"13720","S01000710",2008,11,103,37.5,62.5,NA,NA,NA
"13721","S01000711",2008,5,77,0,100,NA,NA,NA
"13722","S01000712",2008,41,663,14.3,85.699997,NA,NA,NA
"13723","S01000713",2008,15,190,19,81,NA,NA,NA
"13724","S01000714",2008,9,85,19,81,NA,NA,NA
"13725","S01000715",2008,34,511,33.3,66.699997,NA,NA,NA
"13726","S01000716",2008,137,2199,27.3,72.699997,NA,NA,NA
"13727","S01000717",2008,88,1101,55.6,44.400002,NA,NA,NA
"13728","S01000718",2008,42,455,22.2,77.800003,NA,NA,NA
"13729","S01000719",2008,16,251,10,90,NA,NA,NA
"13730","S01000720",2008,8,94,25,75,NA,NA,NA
"13731","S01000721",2008,11,154,0,100,NA,NA,NA
"13732","S01000722",2008,27,340,20,80,NA,NA,NA
"13733","S01000723",2008,5,90,0,100,NA,NA,NA
"13734","S01000724",2008,46,546,21.4,78.599998,NA,NA,NA
"13735","S01000725",2008,11,153,0,100,NA,NA,NA
"13736","S01000726",2008,19,233,14.3,85.699997,NA,NA,NA
"13737","S01000727",2008,32,496,44.4,55.599998,NA,NA,NA
"13738","S01000728",2008,10,124,0,100,NA,NA,NA
"13739","S01000729",2008,29,568,50,50,NA,NA,NA
"13740","S01000730",2008,16,401,0,100,NA,NA,NA
"13741","S01000731",2008,29,580,20,80,NA,NA,NA
"13742","S01000732",2008,106,1931,25,75,NA,NA,NA
"13743","S01000733",2008,111,1410,0,100,NA,NA,NA
"13744","S01000734",2008,9,91,9.1,90.900002,NA,NA,NA
"13745","S01000735",2008,22,440,0,100,NA,NA,NA
"13746","S01000736",2008,15,199,0,100,NA,NA,NA
"13747","S01000737",2008,15,237,50,50,NA,NA,NA
"13748","S01000738",2008,25,430,16.7,83.300003,NA,NA,NA
"13749","S01000739",2008,32,406,41.7,58.299999,NA,NA,NA
"13750","S01000740",2008,20,242,0,100,NA,NA,NA
"13751","S01000741",2008,27,292,20,80,NA,NA,NA
"13752","S01000742",2008,9,155,50,50,NA,NA,NA
"13753","S01000743",2008,36,481,0,100,NA,NA,NA
"13754","S01000744",2008,116,1543,15.4,84.599998,NA,NA,NA
"13755","S01000745",2008,29,386,9.1,90.900002,NA,NA,NA
"13756","S01000746",2008,53,737,25,75,NA,NA,NA
"13757","S01000747",2008,79,1278,25,75,NA,NA,NA
"13758","S01000748",2008,57,1166,16.7,83.300003,NA,NA,NA
"13759","S01000749",2008,42,789,20,80,NA,NA,NA
"13760","S01000750",2008,22,286,42.9,57.099998,NA,NA,NA
"13761","S01000751",2008,9,125,0,100,NA,NA,NA
"13762","S01000752",2008,56,593,20,80,NA,NA,NA
"13763","S01000753",2008,15,245,0,100,NA,NA,NA
"13764","S01000754",2008,13,202,0,100,NA,NA,NA
"13765","S01000755",2008,5,62,0,100,NA,NA,NA
"13766","S01000756",2008,34,315,25,75,NA,NA,NA
"13767","S01000757",2008,30,348,50,50,NA,NA,NA
"13768","S01000758",2008,14,108,14.3,85.699997,NA,NA,NA
"13769","S01000759",2008,37,362,7.7,92.300003,NA,NA,NA
"13770","S01000760",2008,6,122,25,75,NA,NA,NA
"13771","S01000761",2008,12,199,25,75,NA,NA,NA
"13772","S01000762",2008,9,135,25,75,NA,NA,NA
"13773","S01000763",2008,7,88,0,100,NA,NA,NA
"13774","S01000764",2008,31,451,8.3,91.699997,NA,NA,NA
"13775","S01000765",2008,19,261,0,100,NA,NA,NA
"13776","S01000766",2008,19,282,0,100,NA,NA,NA
"13777","S01000767",2008,82,1416,37.5,62.5,NA,NA,NA
"13778","S01000768",2008,81,1000,16.7,83.300003,NA,NA,NA
"13779","S01000769",2008,163,2005,0,100,NA,NA,NA
"13780","S01000770",2008,34,605,27.3,72.699997,NA,NA,NA
"13781","S01000771",2008,40,436,14.3,85.699997,NA,NA,NA
"13782","S01000772",2008,29,440,0,100,NA,NA,NA
"13783","S01000773",2008,27,323,14.3,85.699997,NA,NA,NA
"13784","S01000774",2008,39,607,55.6,44.400002,NA,NA,NA
"13785","S01000775",2008,32,399,0,100,NA,NA,NA
"13786","S01000776",2008,7,121,0,100,NA,NA,NA
"13787","S01000777",2008,27,673,28.6,71.400002,NA,NA,NA
"13788","S01000778",2008,6,123,0,100,NA,NA,NA
"13789","S01000779",2008,28,359,33.3,66.699997,NA,NA,NA
"13790","S01000780",2008,59,695,21.4,78.599998,NA,NA,NA
"13791","S01000781",2008,21,262,0,100,NA,NA,NA
"13792","S01000782",2008,5,77,0,100,NA,NA,NA
"13793","S01000783",2008,NA,NA,66.7,33.299999,NA,NA,NA
"13794","S01000784",2008,33,400,16.7,83.300003,NA,NA,NA
"13795","S01000785",2008,7,93,25,75,NA,NA,NA
"13796","S01000786",2008,8,105,20,80,NA,NA,NA
"13797","S01000787",2008,22,407,0,100,NA,NA,NA
"13798","S01000788",2008,11,151,25,75,NA,NA,NA
"13799","S01000789",2008,29,441,16.7,83.300003,NA,NA,NA
"13800","S01000790",2008,16,264,0,0,NA,NA,NA
"13801","S01000791",2008,17,279,0,100,NA,NA,NA
"13802","S01000792",2008,NA,NA,11.1,88.900002,NA,NA,NA
"13803","S01000793",2008,32,499,0,100,NA,NA,NA
"13804","S01000794",2008,91,1045,25,75,NA,NA,NA
"13805","S01000795",2008,46,526,14.3,85.699997,NA,NA,NA
"13806","S01000796",2008,84,1500,0,100,NA,NA,NA
"13807","S01000797",2008,25,445,55.6,44.400002,NA,NA,NA
"13808","S01000798",2008,9,175,16.7,83.300003,NA,NA,NA
"13809","S01000799",2008,20,77,66.7,33.299999,NA,NA,NA
"13810","S01000800",2008,20,195,0,100,NA,NA,NA
"13811","S01000801",2008,NA,NA,16.7,83.300003,NA,NA,NA
"13812","S01000802",2008,11,154,0,100,NA,NA,NA
"13813","S01000803",2008,NA,NA,12.5,87.5,NA,NA,NA
"13814","S01000804",2008,68,756,16.7,83.300003,NA,NA,NA
"13815","S01000805",2008,20,241,25,75,NA,NA,NA
"13816","S01000806",2008,5,55,0,100,NA,NA,NA
"13817","S01000807",2008,19,227,12.5,87.5,NA,NA,NA
"13818","S01000808",2008,15,207,25,75,NA,NA,NA
"13819","S01000809",2008,5,79,11.1,88.900002,NA,NA,NA
"13820","S01000810",2008,NA,NA,14.3,85.699997,NA,NA,NA
"13821","S01000811",2008,NA,NA,23.1,76.900002,NA,NA,NA
"13822","S01000812",2008,51,564,26.7,73.300003,NA,NA,NA
"13823","S01000813",2008,NA,NA,12.5,87.5,NA,NA,NA
"13824","S01000814",2008,59,756,33.3,66.699997,NA,NA,NA
"13825","S01000815",2008,53,964,25,75,NA,NA,NA
"13826","S01000816",2008,91,1296,50,50,NA,NA,NA
"13827","S01000817",2008,18,199,8.3,91.699997,NA,NA,NA
"13828","S01000818",2008,98,1185,0,100,NA,NA,NA
"13829","S01000819",2008,8,94,30,70,NA,NA,NA
"13830","S01000820",2008,9,145,0,100,NA,NA,NA
"13831","S01000821",2008,37,421,20,80,NA,NA,NA
"13832","S01000822",2008,8,142,0,100,NA,NA,NA
"13833","S01000823",2008,10,188,16.7,83.300003,NA,NA,NA
"13834","S01000824",2008,16,239,0,100,NA,NA,NA
"13835","S01000825",2008,15,195,25,75,NA,NA,NA
"13836","S01000826",2008,22,338,0,100,NA,NA,NA
"13837","S01000827",2008,6,77,13.3,86.699997,NA,NA,NA
"13838","S01000828",2008,15,157,0,100,NA,NA,NA
"13839","S01000829",2008,NA,NA,0,100,NA,NA,NA
"13840","S01000830",2008,NA,NA,11.1,88.900002,NA,NA,NA
"13841","S01000831",2008,NA,NA,13.3,86.699997,NA,NA,NA
"13842","S01000832",2008,17,174,20,80,NA,NA,NA
"13843","S01000833",2008,49,630,15.4,84.599998,NA,NA,NA
"13844","S01000834",2008,53,553,38.5,61.5,NA,NA,NA
"13845","S01000835",2008,75,1034,0,100,NA,NA,NA
"13846","S01000836",2008,178,2231,40,60,NA,NA,NA
"13847","S01000837",2008,280,2950,20,80,NA,NA,NA
"13848","S01000838",2008,NA,NA,11.1,88.900002,NA,NA,NA
"13849","S01000839",2008,16,126,25,75,NA,NA,NA
"13850","S01000840",2008,71,993,14.3,85.699997,NA,NA,NA
"13851","S01000841",2008,111,1231,38.1,61.900002,NA,NA,NA
"13852","S01000842",2008,NA,NA,44.4,55.599998,NA,NA,NA
"13853","S01000843",2008,48,525,0,100,NA,NA,NA
"13854","S01000844",2008,64,971,25,75,NA,NA,NA
"13855","S01000845",2008,19,360,0,100,NA,NA,NA
"13856","S01000846",2008,96,1333,25,75,NA,NA,NA
"13857","S01000847",2008,108,1111,11.8,88.199997,NA,NA,NA
"13858","S01000848",2008,12,171,12.5,87.5,NA,NA,NA
"13859","S01000849",2008,NA,NA,21.4,78.599998,NA,NA,NA
"13860","S01000850",2008,45,677,50,50,NA,NA,NA
"13861","S01000851",2008,19,292,20,80,NA,NA,NA
"13862","S01000852",2008,42,619,55.6,44.400002,NA,NA,NA
"13863","S01000853",2008,NA,NA,45.5,54.5,NA,NA,NA
"13864","S01000854",2008,76,908,12.5,87.5,NA,NA,NA
"13865","S01000855",2008,13,171,7.7,92.300003,NA,NA,NA
"13866","S01000856",2008,29,506,33.3,66.699997,NA,NA,NA
"13867","S01000857",2008,16,248,14.3,85.699997,NA,NA,NA
"13868","S01000858",2008,15,174,16.7,83.300003,NA,NA,NA
"13869","S01000859",2008,57,524,5.3,94.699997,NA,NA,NA
"13870","S01000860",2008,88,1010,28.6,71.400002,NA,NA,NA
"13871","S01000861",2008,8,125,16.7,83.300003,NA,NA,NA
"13872","S01000862",2008,15,274,0,100,NA,NA,NA
"13873","S01000863",2008,43,766,16.7,83.300003,NA,NA,NA
"13874","S01000864",2008,21,192,18.8,81.199997,NA,NA,NA
"13875","S01000865",2008,70,675,22.2,77.800003,NA,NA,NA
"13876","S01000866",2008,45,538,20,80,NA,NA,NA
"13877","S01000867",2008,105,1264,60,40,NA,NA,NA
"13878","S01000868",2008,27,429,50,50,NA,NA,NA
"13879","S01000869",2008,35,660,57.1,42.900002,NA,NA,NA
"13880","S01000870",2008,53,690,42.9,57.099998,NA,NA,NA
"13881","S01000871",2008,25,316,0,100,NA,NA,NA
"13882","S01000872",2008,17,263,22.2,77.800003,NA,NA,NA
"13883","S01000873",2008,151,601,9.5,90.5,NA,NA,NA
"13884","S01000874",2008,35,704,28.6,71.400002,NA,NA,NA
"13885","S01000875",2008,62,517,25,75,NA,NA,NA
"13886","S01000876",2008,43,629,0,100,NA,NA,NA
"13887","S01000877",2008,56,822,20,80,NA,NA,NA
"13888","S01000878",2008,NA,NA,8.3,91.699997,NA,NA,NA
"13889","S01000879",2008,46,505,25,75,NA,NA,NA
"13890","S01000880",2008,10,131,18.2,81.800003,NA,NA,NA
"13891","S01000881",2008,24,382,7.7,92.300003,NA,NA,NA
"13892","S01000882",2008,76,835,25,75,NA,NA,NA
"13893","S01000883",2008,66,766,23.1,76.900002,NA,NA,NA
"13894","S01000884",2008,27,428,0,100,NA,NA,NA
"13895","S01000885",2008,NA,NA,0,100,NA,NA,NA
"13896","S01000886",2008,44,646,0,100,NA,NA,NA
"13897","S01000887",2008,28,403,16.7,83.300003,NA,NA,NA
"13898","S01000888",2008,64,982,6.2,93.800003,NA,NA,NA
"13899","S01000889",2008,37,527,55.6,44.400002,NA,NA,NA
"13900","S01000890",2008,66,873,0,100,NA,NA,NA
"13901","S01000891",2008,NA,NA,20,80,NA,NA,NA
"13902","S01000892",2008,44,732,20,80,NA,NA,NA
"13903","S01000893",2008,NA,NA,0,100,NA,NA,NA
"13904","S01000894",2008,NA,NA,37.5,62.5,NA,NA,NA
"13905","S01000895",2008,NA,NA,15.4,84.599998,NA,NA,NA
"13906","S01000896",2008,33,647,0,100,NA,NA,NA
"13907","S01000897",2008,6,90,20,80,NA,NA,NA
"13908","S01000898",2008,15,261,12.5,87.5,NA,NA,NA
"13909","S01000899",2008,63,759,20,80,NA,NA,NA
"13910","S01000900",2008,5,73,14.3,85.699997,NA,NA,NA
"13911","S01000901",2008,6,88,0,100,NA,NA,NA
"13912","S01000902",2008,NA,NA,0,100,NA,NA,NA
"13913","S01000903",2008,8,77,6.2,93.800003,NA,NA,NA
"13914","S01000904",2008,9,126,11.1,88.900002,NA,NA,NA
"13915","S01000905",2008,154,2302,25,75,NA,NA,NA
"13916","S01000906",2008,NA,NA,20,80,NA,NA,NA
"13917","S01000907",2008,31,421,11.1,88.900002,NA,NA,NA
"13918","S01000908",2008,22,299,16.7,83.300003,NA,NA,NA
"13919","S01000909",2008,7,72,0,100,NA,NA,NA
"13920","S01000910",2008,18,234,8.3,91.699997,NA,NA,NA
